Time (ns),Voltage (mV)
0.0,230.47578356273078
80000000.0,468.76430555131685
160000000.0,-582.0490127262185
240000000.0,457.045197912534
320000000.0,469.7408978545488
400000000.0,-348.6434522537919
480000000.0,467.78771324808497
560000000.0,-579.1192358165227
640000000.0,452.1622363963744
720000000.0,-618.1829279457992
800000000.0,-573.2596819971312
880000000.0,464.8579363383892
960000000.0,-577.1660512100589
1040000000.0,442.3963133640553
1120000000.0,-581.0724204229865
1200000000.0,-590.8383434553057
1280000000.0,463.8813440351573
1360000000.0,-581.0724204229865
1440000000.0,442.3963133640553
1520000000.0,-465.83452864162115
1600000000.0,-581.0724204229865
1680000000.0,464.8579363383892
1760000000.0,-573.2596819971312
1840000000.0,439.4665364543596
1920000000.0,-390.63692129276404
2000000000.0,-582.0490127262185
2080000000.0,462.9047517319254
2160000000.0,-577.1660512100589
2240000000.0,430.67720572527236
2320000000.0,-436.5367595446638
2400000000.0,-585.955381939146
2480000000.0,459.9749748222297
2560000000.0,-577.1660512100589
2640000000.0,-395.5198828089236
2720000000.0,-544.9385052034058
2800000000.0,-588.8851588488418
2880000000.0,463.8813440351573
2960000000.0,-578.1426435132909
3040000000.0,448.25586718344675
3120000000.0,-605.4872280037843
3200000000.0,-581.0724204229865
3280000000.0,466.81112094485303
3360000000.0,-577.1660512100589
3440000000.0,458.02179021576586
3520000000.0,-585.955381939146
3600000000.0,-152.34839930417797
3680000000.0,463.8813440351573
3760000000.0,-580.0958281197546
3840000000.0,462.9047517319254
3920000000.0,-568.3767204809717
4000000000.0,460.95156712546157
4080000000.0,461.9281594286935
4160000000.0,-581.0724204229865
4240000000.0,468.76430555131685
4320000000.0,-573.2596819971312
4400000000.0,458.02179021576586
4480000000.0,-35.15732291634877
4560000000.0,-580.0958281197546
4640000000.0,465.83452864162115
4720000000.0,-574.2362743003632
4800000000.0,456.06860560930204
4880000000.0,-603.5340433973205
4960000000.0,-425.79424420911283
5040000000.0,463.8813440351573
5120000000.0,-578.1426435132909
5200000000.0,463.8813440351573
5280000000.0,-565.4469435712759
5360000000.0,485.36637470625936
5440000000.0,431.6537980285043
5520000000.0,-581.0724204229865
5600000000.0,462.9047517319254
5680000000.0,-575.2128666035951
5760000000.0,435.56016724143194
5840000000.0,-606.4638203070162
5920000000.0,-458.02179021576586
6000000000.0,464.8579363383892
6080000000.0,-578.1426435132909
6160000000.0,458.02179021576586
6240000000.0,-572.2830896938993
6320000000.0,-581.0724204229865
