Time (ns),Voltage A (mV),Voltage B (mV)
0.0,416.0283211767937,-10.742515335551012
80000000.0,421.8878749961852,-13.672292245246743
160000000.0,420.91128269295325,-11.719107638782923
240000000.0,420.91128269295325,-11.719107638782923
320000000.0,429.7006134220405,-12.695699942014832
400000000.0,418.95809808648943,-12.695699942014832
480000000.0,409.1921750541704,-8.789330729087192
560000000.0,409.1921750541704,-11.719107638782923
640000000.0,383.8007751701407,-10.742515335551012
720000000.0,370.12848292489394,-10.742515335551012
800000000.0,342.78389843440044,-9.765923032319101
880000000.0,333.9945677053133,-12.695699942014832
960000000.0,322.27546006653034,-11.719107638782923
1040000000.0,261.72673726615193,-12.695699942014832
1120000000.0,216.80349131748406,-12.695699942014832
1200000000.0,210.9439374980926,-12.695699942014832
1280000000.0,161.13773003326517,-12.695699942014832
1360000000.0,89.84649189733574,-10.742515335551012
1440000000.0,62.50190740684225,-12.695699942014832
1520000000.0,50.78279976805933,-11.719107638782923
1600000000.0,34.18073061311686,-10.742515335551012
1680000000.0,-41.99346903897214,-11.719107638782923
1760000000.0,-118.16766869106112,-9.765923032319101
1840000000.0,-136.72292245246743,-14.648884548478652
1920000000.0,-159.18454542680135,-11.719107638782923
2000000000.0,-178.71639149143957,-12.695699942014832
2080000000.0,-190.43549913022247,-14.648884548478652
2160000000.0,-242.1948912015137,-9.765923032319101
2240000000.0,-318.3690908536027,-10.742515335551012
2320000000.0,-330.08819849238563,-12.695699942014832
2400000000.0,-347.66685995056,-11.719107638782923
2480000000.0,-398.44965971861933,-11.719107638782923
2560000000.0,-490.2493362224189,-13.672292245246743
2640000000.0,-511.7343668935209,-11.719107638782923
2720000000.0,-505.87481307412946,-11.719107638782923
2800000000.0,-527.3598437452315,-11.719107638782923
2880000000.0,-541.0321359904782,-13.672292245246743
2960000000.0,-542.9853205969421,-12.695699942014832
3040000000.0,-554.704428235725,-10.742515335551012
3120000000.0,-562.5171666615803,-13.672292245246743
3200000000.0,-568.3767204809717,-12.695699942014832
3280000000.0,-578.1426435132909,-10.742515335551012
3360000000.0,-584.0021973326823,-10.742515335551012
3440000000.0,-584.0021973326823,-10.742515335551012
3520000000.0,-586.931974242378,-9.765923032319101
3600000000.0,-588.8851588488418,-10.742515335551012
3680000000.0,-587.9085665456099,-11.719107638782923
3760000000.0,-597.674489577929,-12.695699942014832
3840000000.0,-599.6276741843928,-11.719107638782923
3920000000.0,-602.5574510940886,-7.812738425855281
4000000000.0,-586.931974242378,-12.695699942014832
4080000000.0,-602.5574510940886,-12.695699942014832
4160000000.0,-597.674489577929,-11.719107638782923
4240000000.0,-594.7447126682333,-11.719107638782923
4320000000.0,-591.8149357585376,-11.719107638782923
4400000000.0,-550.7980590227974,-10.742515335551012
4480000000.0,-530.2896206549273,-10.742515335551012
4560000000.0,-518.5705130161443,-11.719107638782923
4640000000.0,-511.7343668935209,-9.765923032319101
4720000000.0,-493.17911313211465,-10.742515335551012
4800000000.0,-486.34296700949125,-10.742515335551012
4880000000.0,-471.6940824610126,-11.719107638782923
4960000000.0,-462.9047517319254,-13.672292245246743
5040000000.0,-445.32609027375105,-10.742515335551012
5120000000.0,-427.74742881557665,-11.719107638782923
5200000000.0,-417.98150578325755,-15.625476851710562
5280000000.0,-400.40284432508315,-10.742515335551012
5360000000.0,-385.7539597766045,-12.695699942014832
5440000000.0,-365.2455214087344,-9.765923032319101
5520000000.0,-345.7136753440962,-9.765923032319101
5600000000.0,-331.06479079561757,-9.765923032319101
5680000000.0,-313.4861293374432,-10.742515335551012
5760000000.0,-302.7436140018921,-13.672292245246743
5840000000.0,-286.14154484694967,-10.742515335551012
5920000000.0,-264.65651417584763,-10.742515335551012
6000000000.0,-248.05444502090518,-11.719107638782923
6080000000.0,-228.522598956267,-8.789330729087192
6160000000.0,-212.89712210455642,-9.765923032319101
6240000000.0,-119.14426099429303,-11.719107638782923
6320000000.0,-57.618945890682696,-13.672292245246743
