Time (ns),Voltage A (mV),Voltage B (mV)
0.0,417.00491348002566,-10.742515335551012
19200.0,446.30268257698293,-11.719107638782923
38400.0,441.4197210608234,-11.719107638782923
57600.0,393.5666982024598,-11.719107638782923
76800.0,338.8775292214728,-5.859553819391461
96000.0,244.14807580797753,-9.765923032319101
115200.0,141.60588396862698,-11.719107638782923
134400.0,30.274361400189214,-10.742515335551012
153600.0,-89.84649189733574,-11.719107638782923
172800.0,-202.1546067690054,-11.719107638782923
192000.0,-313.4861293374432,-12.695699942014832
211200.0,-420.91128269295325,-12.695699942014832
230400.0,-501.9684438612018,-10.742515335551012
249600.0,-546.8916898098697,-11.719107638782923
268800.0,-582.0490127262185,-10.742515335551012
288000.0,-574.2362743003632,-11.719107638782923
307200.0,-534.1959898678549,-12.695699942014832
326400.0,-467.78771324808497,-14.648884548478652
345600.0,-377.94122135074923,-11.719107638782923
364800.0,-272.4692526017029,-10.742515335551012
384000.0,-162.11432233649708,-11.719107638782923
403200.0,-37.11050752281258,-11.719107638782923
422400.0,78.12738425855281,-12.695699942014832
441600.0,190.43549913022247,-10.742515335551012
460800.0,292.00109866634114,-12.695699942014832
480000.0,361.3391521958068,-11.719107638782923
499200.0,419.93469038972137,-12.695699942014832
518400.0,447.27927488021487,-9.765923032319101
537600.0,436.5367595446638,-12.695699942014832
556800.0,398.44965971861933,-11.719107638782923
576000.0,340.8307138279366,-9.765923032319101
595200.0,251.96081423383282,-10.742515335551012
614400.0,149.41862239448224,-10.742515335551012
633600.0,30.274361400189214,-12.695699942014832
652800.0,-84.96353038117618,-13.672292245246743
672000.0,-202.1546067690054,-11.719107638782923
691200.0,-312.50953703421123,-13.672292245246743
710400.0,-417.00491348002566,-11.719107638782923
729600.0,-496.10889004181035,-14.648884548478652
748800.0,-559.5873897518845,-13.672292245246743
768000.0,-584.0021973326823,-13.672292245246743
787200.0,-573.2596819971312,-11.719107638782923
806400.0,-540.0555436872463,-10.742515335551012
825600.0,-468.76430555131685,-10.742515335551012
844800.0,-383.8007751701407,-13.672292245246743
864000.0,-274.42243720816674,-12.695699942014832
883200.0,-164.0675069429609,-11.719107638782923
902400.0,-44.92324594866787,-12.695699942014832
921600.0,74.22101504562517,-13.672292245246743
940800.0,180.6695760979034,-11.719107638782923
960000.0,283.21176793725397,-13.672292245246743
979200.0,358.409375286111,-9.765923032319101
998400.0,416.0283211767937,-13.672292245246743
1017600.0,445.32609027375105,-10.742515335551012
1036800.0,438.48994415112765,-12.695699942014832
1056000.0,403.3326212347789,-9.765923032319101
1075200.0,341.80730613116856,-12.695699942014832
1094400.0,253.91399884029664,-11.719107638782923
1113600.0,151.37180700094606,-10.742515335551012
1132800.0,35.15732291634877,-9.765923032319101
1152000.0,-81.05716116824854,-13.672292245246743
1171200.0,-194.3418683431501,-13.672292245246743
1190400.0,-310.5563524277474,-12.695699942014832
1209600.0,-409.1921750541704,-10.742515335551012
1228800.0,-494.15570543534653,-11.719107638782923
1248000.0,-551.7746513260292,-10.742515335551012
1267200.0,-584.0021973326823,-13.672292245246743
1286400.0,-580.0958281197546,-10.742515335551012
1305600.0,-536.1491744743187,-11.719107638782923
1324800.0,-475.60045167394026,-11.719107638782923
1344000.0,-384.7773674733726,-14.648884548478652
1363200.0,-280.2819910275582,-16.602069154942473
1382400.0,-165.04409924619281,-11.719107638782923
1401600.0,-48.829615161595505,-12.695699942014832
1420800.0,68.36146122623371,-11.719107638782923
1440000.0,176.76320688497574,-11.719107638782923
1459200.0,276.37562181463056,-11.719107638782923
1478400.0,362.31574449903866,-13.672292245246743
1497600.0,411.1453596606342,-13.672292245246743
1516800.0,446.30268257698293,-13.672292245246743
1536000.0,440.44312875759147,-11.719107638782923
1555200.0,406.2623981444746,-11.719107638782923
1574400.0,346.6902676473281,-12.695699942014832
1593600.0,257.8203680532243,-10.742515335551012
1612800.0,156.25476851710562,-10.742515335551012
