Time (ns),Voltage A (mV),Voltage B (mV)
0.0,439.4665364543596,424.8176519058809
80000000.0,433.6069826349681,418.95809808648943
160000000.0,424.8176519058809,409.1921750541704
240000000.0,398.44965971861933,381.8475905636769
320000000.0,376.9646290475173,361.3391521958068
400000000.0,333.9945677053133,315.439313943907
480000000.0,333.0179754020814,315.439313943907
560000000.0,333.0179754020814,316.4159062471389
640000000.0,353.5264137699515,338.8775292214728
720000000.0,318.3690908536027,304.69679860835595
800000000.0,281.25858333079015,266.60969878231145
880000000.0,289.07132175664543,274.42243720816674
960000000.0,229.49919125949887,210.9439374980926
1040000000.0,175.78661458174383,161.13773003326517
1120000000.0,140.62929166539507,124.02722251045259
1200000000.0,123.05063020722068,105.4719687490463
1280000000.0,44.92324594866787,26.367992187261574
1360000000.0,11.719107638782923,-6.836146122623371
1440000000.0,8.789330729087192,-11.719107638782923
1520000000.0,-3.9063692129276406,-19.531846064638202
1600000000.0,0.9765923032319102,-17.578661458174384
1680000000.0,-35.15732291634877,-52.73598437452315
1760000000.0,-104.49537644581439,-122.07403790398877
1840000000.0,-159.18454542680135,-182.6227607043672
1920000000.0,-158.20795312356944,-174.81002227851192
2000000000.0,-219.7332682271798,-240.2417065950499
2080000000.0,-281.25858333079015,-303.72020630512407
2160000000.0,-320.3222754600665,-342.78389843440044
2240000000.0,-328.1350138859218,-344.73708304086426
2320000000.0,-363.2923368022706,-384.7773674733726
2400000000.0,-413.098544267098,-439.4665364543596
2480000000.0,-424.8176519058809,-447.27927488021487
2560000000.0,-445.32609027375105,-468.76430555131685
2640000000.0,-436.5367595446638,-458.02179021576586
2720000000.0,-438.48994415112765,-459.9749748222297
2800000000.0,-440.44312875759147,-461.9281594286935
2880000000.0,-447.27927488021487,-468.76430555131685
2960000000.0,-460.95156712546157,-481.4600054933317
3040000000.0,-485.36637470625936,-507.8279976805933
3120000000.0,-514.6641438032167,-538.1023590807825
3200000000.0,-514.6641438032167,-537.1257667775506
3280000000.0,-510.757774590289,-534.1959898678549
3360000000.0,-518.5705130161443,-543.961912900174
3440000000.0,-517.5939207129123,-541.0321359904782
3520000000.0,-514.6641438032167,-538.1023590807825
3600000000.0,-518.5705130161443,-542.0087282937102
3680000000.0,-521.50028992584,-545.9150975066377
3760000000.0,-524.4300668355357,-545.9150975066377
3840000000.0,-536.1491744743187,-560.5639820551164
3920000000.0,-555.6810205389569,-579.1192358165227
4000000000.0,-559.5873897518845,-578.1426435132909
4080000000.0,-561.5405743583483,-578.1426435132909
4160000000.0,-545.9150975066377,-568.3767204809717
4240000000.0,-544.9385052034058,-570.3299050874356
4320000000.0,-542.0087282937102,-561.5405743583483
4400000000.0,-542.9853205969421,-563.4937589648122
4480000000.0,-542.0087282937102,-564.470351268044
4560000000.0,-545.9150975066377,-568.3767204809717
4640000000.0,-546.8916898098697,-565.4469435712759
4720000000.0,-544.9385052034058,-572.2830896938993
4800000000.0,-542.9853205969421,-562.5171666615803
4880000000.0,-535.1725821710868,-558.6107974486526
4960000000.0,-525.4066591387676,-549.8214667195654
5040000000.0,-501.9684438612018,-525.4066591387676
5120000000.0,-465.83452864162115,-485.36637470625936
5200000000.0,-428.72402111880854,-452.1622363963744
5280000000.0,-412.1219519638661,-436.5367595446638
5360000000.0,-413.098544267098,-433.6069826349681
5440000000.0,-413.098544267098,-436.5367595446638
5520000000.0,-408.21558275093844,-428.72402111880854
5600000000.0,-391.613513595996,-416.0283211767937
5680000000.0,-379.89440595721305,-400.40284432508315
5760000000.0,-381.8475905636769,-405.28580584124273
5840000000.0,-342.78389843440044,-364.2689291055025
5920000000.0,-255.86718344676046,-271.49266029847104
6000000000.0,-224.61622974333935,-242.1948912015137
6080000000.0,-160.16113773003326,-178.71639149143957
6160000000.0,-152.34839930417797,-174.81002227851192
6240000000.0,-115.23789178136539,-134.7697378460036
6320000000.0,-29.297769096957303,-47.853022858363595
