Time (ns),Voltage A (mV),Voltage B (mV)
0.0,-443.3729056672872,-447.27927488021487
80000000.0,-468.76430555131685,-475.60045167394026
160000000.0,-461.9281594286935,-464.8579363383892
240000000.0,-447.27927488021487,-452.1622363963744
320000000.0,-428.72402111880854,-433.6069826349681
400000000.0,-413.098544267098,-421.8878749961852
480000000.0,-404.3092135380108,-412.1219519638661
560000000.0,-381.8475905636769,-389.66032898953216
640000000.0,-417.98150578325755,-422.8644672994171
720000000.0,-432.6303903317362,-439.4665364543596
800000000.0,-436.5367595446638,-444.3494979705191
880000000.0,-421.8878749961852,-431.6537980285043
960000000.0,-396.4964751121555,-404.3092135380108
1040000000.0,-407.23899044770656,-418.95809808648943
1120000000.0,-418.95809808648943,-429.7006134220405
1200000000.0,-450.2090517899106,-455.09201330607016
1280000000.0,-473.64726706747643,-479.5068208868679
1360000000.0,-455.09201330607016,-465.83452864162115
1440000000.0,-481.4600054933317,-485.36637470625936
1520000000.0,-471.6940824610126,-477.5536362804041
1600000000.0,-454.1154210028382,-467.78771324808497
1680000000.0,-423.841059602649,-429.7006134220405
1760000000.0,-417.98150578325755,-423.841059602649
1840000000.0,-385.7539597766045,-395.5198828089236
1920000000.0,-378.9178136539811,-390.63692129276404
2000000000.0,-402.356028931547,-414.0751365703299
2080000000.0,-428.72402111880854,-433.6069826349681
2160000000.0,-460.95156712546157,-472.6706747642445
2240000000.0,-468.76430555131685,-478.53022858363596
2320000000.0,-480.4834131900998,-488.29615161595507
2400000000.0,-511.7343668935209,-518.5705130161443
2480000000.0,-536.1491744743187,-540.0555436872463
2560000000.0,-537.1257667775506,-543.961912900174
2640000000.0,-547.8682821131016,-554.704428235725
2720000000.0,-547.8682821131016,-552.7512436292611
2800000000.0,-537.1257667775506,-544.9385052034058
2880000000.0,-533.2193975646229,-542.0087282937102
2960000000.0,-520.5236976226081,-526.3832514419996
3040000000.0,-518.5705130161443,-525.4066591387676
3120000000.0,-505.87481307412946,-513.6875514999847
3200000000.0,-493.17911313211465,-496.10889004181035
3280000000.0,-480.4834131900998,-489.272743919187
3360000000.0,-475.60045167394026,-479.5068208868679
3440000000.0,-476.57704397717214,-482.4365977965636
3520000000.0,-500.9918515579699,-506.85140537736135
3600000000.0,-518.5705130161443,-524.4300668355357
3680000000.0,-532.242805261391,-535.1725821710868
3760000000.0,-550.7980590227974,-556.6576128421888
3840000000.0,-555.6810205389569,-562.5171666615803
3920000000.0,-562.5171666615803,-567.4001281777398
4000000000.0,-574.2362743003632,-583.0256050294504
4080000000.0,-571.3064973906675,-578.1426435132909
4160000000.0,-569.3533127842036,-573.2596819971312
4240000000.0,-563.4937589648122,-571.3064973906675
4320000000.0,-567.4001281777398,-574.2362743003632
4400000000.0,-577.1660512100589,-583.0256050294504
4480000000.0,-572.2830896938993,-576.189458906827
4560000000.0,-568.3767204809717,-574.2362743003632
4640000000.0,-572.2830896938993,-582.0490127262185
4720000000.0,-573.2596819971312,-582.0490127262185
4800000000.0,-567.4001281777398,-572.2830896938993
4880000000.0,-556.6576128421888,-563.4937589648122
4960000000.0,-551.7746513260292,-560.5639820551164
5040000000.0,-532.242805261391,-541.0321359904782
5120000000.0,-524.4300668355357,-533.2193975646229
5200000000.0,-507.8279976805933,-512.7109591967528
5280000000.0,-479.5068208868679,-488.29615161595507
5360000000.0,-463.8813440351573,-471.6940824610126
5440000000.0,-426.7708365123447,-430.67720572527236
5520000000.0,-418.95809808648943,-422.8644672994171
5600000000.0,-393.5666982024598,-398.44965971861933
5680000000.0,-358.409375286111,-367.19870601519824
5760000000.0,-335.9477523117771,-345.7136753440962
5840000000.0,-293.95428327280496,-302.7436140018921
5920000000.0,-306.64998321481977,-316.4159062471389
6000000000.0,-329.11160618915375,-334.97116000854516
6080000000.0,-337.9009369182409,-341.80730613116856
6160000000.0,-353.5264137699515,-360.36255989257484
6240000000.0,-362.31574449903866,-366.2221137119663
6320000000.0,-316.4159062471389,-324.22864467299416
