Time (ns),Voltage A (mV),Voltage B (mV)
0.0,-455.09201330607016,-14.648884548478652
80000000.0,-475.60045167394026,-12.695699942014832
160000000.0,-433.6069826349681,-11.719107638782923
240000000.0,-413.098544267098,-11.719107638782923
320000000.0,-395.5198828089236,-11.719107638782923
400000000.0,-402.356028931547,-12.695699942014832
480000000.0,-417.98150578325755,-13.672292245246743
560000000.0,-377.94122135074923,-10.742515335551012
640000000.0,-341.80730613116856,-13.672292245246743
720000000.0,-301.76702169866024,-10.742515335551012
800000000.0,-256.84377574999235,-12.695699942014832
880000000.0,-215.82689901425215,-11.719107638782923
960000000.0,-170.90365306558428,-13.672292245246743
1040000000.0,-118.16766869106112,-13.672292245246743
1120000000.0,-110.35493026520585,-13.672292245246743
1200000000.0,-118.16766869106112,-10.742515335551012
1280000000.0,-137.69951475569934,-10.742515335551012
1360000000.0,-122.07403790398877,-13.672292245246743
1440000000.0,-88.86989959410383,-11.719107638782923
1520000000.0,-52.73598437452315,-11.719107638782923
1600000000.0,-12.695699942014832,-9.765923032319101
1680000000.0,24.414807580797753,-13.672292245246743
1760000000.0,57.618945890682696,-9.765923032319101
1840000000.0,108.40174565874203,-9.765923032319101
1920000000.0,133.7931455427717,-10.742515335551012
2000000000.0,198.24823755607775,-14.648884548478652
2080000000.0,196.29505294961393,-14.648884548478652
2160000000.0,177.73979918820766,-11.719107638782923
2240000000.0,159.18454542680135,-11.719107638782923
2320000000.0,146.4888454847865,-11.719107638782923
2400000000.0,148.44203009125033,-12.695699942014832
2480000000.0,172.8568376720481,-11.719107638782923
2560000000.0,210.9439374980926,-13.672292245246743
2640000000.0,251.96081423383282,-11.719107638782923
2720000000.0,265.6331064790796,-11.719107638782923
2800000000.0,269.5394756920072,-11.719107638782923
2880000000.0,243.17148350474562,-11.719107638782923
2960000000.0,225.59282204657126,-9.765923032319101
3040000000.0,257.8203680532243,-10.742515335551012
3120000000.0,282.235175634022,-12.695699942014832
3200000000.0,314.46272164067506,-11.719107638782923
3280000000.0,338.8775292214728,-11.719107638782923
3360000000.0,355.4795983764153,-10.742515335551012
3440000000.0,370.12848292489394,-11.719107638782923
3520000000.0,392.59010589922786,-11.719107638782923
3600000000.0,410.16876735740226,-8.789330729087192
3680000000.0,399.42625202185127,-9.765923032319101
3760000000.0,393.5666982024598,-12.695699942014832
3840000000.0,379.89440595721305,-13.672292245246743
3920000000.0,370.12848292489394,-13.672292245246743
4000000000.0,365.2455214087344,-11.719107638782923
4080000000.0,346.6902676473281,-10.742515335551012
4160000000.0,345.7136753440962,-12.695699942014832
4240000000.0,347.66685995056,-12.695699942014832
4320000000.0,375.0114444410535,-12.695699942014832
4400000000.0,390.63692129276404,-11.719107638782923
4480000000.0,413.098544267098,-11.719107638782923
4560000000.0,423.841059602649,-9.765923032319101
4640000000.0,432.6303903317362,-8.789330729087192
4720000000.0,444.3494979705191,-12.695699942014832
4800000000.0,442.3963133640553,-11.719107638782923
4880000000.0,440.44312875759147,-10.742515335551012
4960000000.0,428.72402111880854,-10.742515335551012
5040000000.0,420.91128269295325,-11.719107638782923
5120000000.0,400.40284432508315,-12.695699942014832
5200000000.0,387.70714438306834,-9.765923032319101
5280000000.0,361.3391521958068,-10.742515335551012
5360000000.0,338.8775292214728,-10.742515335551012
5440000000.0,307.6265755180517,-12.695699942014832
5520000000.0,273.44584490493486,-10.742515335551012
5600000000.0,251.96081423383282,-12.695699942014832
5680000000.0,208.01416058839686,-11.719107638782923
5760000000.0,173.83342997528,-12.695699942014832
5840000000.0,135.74633014923552,-13.672292245246743
5920000000.0,72.26783043916136,-12.695699942014832
6000000000.0,48.829615161595505,-13.672292245246743
6080000000.0,4.8829615161595505,-10.742515335551012
6160000000.0,10.742515335551012,-11.719107638782923
6240000000.0,20.508438367870113,-12.695699942014832
6320000000.0,20.508438367870113,-13.672292245246743
6400000000.0,-38.08709982604449,-13.672292245246743
6480000000.0,-16.602069154942473,-8.789330729087192
6560000000.0,-19.531846064638202,-11.719107638782923
6640000000.0,-49.806207464827416,-13.672292245246743
6720000000.0,-50.78279976805933,-11.719107638782923
6800000000.0,-26.367992187261574,-13.672292245246743
6880000000.0,-53.71257667775506,-9.765923032319101
6960000000.0,-85.9401226844081,-11.719107638782923
7040000000.0,-63.47849971007416,-11.719107638782923
7120000000.0,-60.54872280037843,-12.695699942014832
7200000000.0,-46.87643055513169,-12.695699942014832
7280000000.0,-66.4082766197699,-13.672292245246743
7360000000.0,-79.10397656178472,-12.695699942014832
7440000000.0,-51.75939207129124,-13.672292245246743
7520000000.0,-46.87643055513169,-11.719107638782923
7600000000.0,-36.13391521958068,-11.719107638782923
7680000000.0,-13.672292245246743,-12.695699942014832
7760000000.0,-2.9297769096957307,-11.719107638782923
7840000000.0,18.55525376140629,-11.719107638782923
7920000000.0,10.742515335551012,-12.695699942014832
8000000000.0,1.9531846064638203,-12.695699942014832
8080000000.0,-39.063692129276404,-10.742515335551012
8160000000.0,-77.1507919553209,-12.695699942014832
8240000000.0,-118.16766869106112,-9.765923032319101
8320000000.0,-160.16113773003326,-11.719107638782923
8400000000.0,-215.82689901425215,-10.742515335551012
8480000000.0,-261.72673726615193,-13.672292245246743
8560000000.0,-300.7904293954283,-11.719107638782923
8640000000.0,-291.02450636310925,-11.719107638782923
8720000000.0,-297.8606524857326,-13.672292245246743
8800000000.0,-285.1649525437178,-9.765923032319101
8880000000.0,-278.3288064210944,-13.672292245246743
8960000000.0,-313.4861293374432,-12.695699942014832
9040000000.0,-360.36255989257484,-10.742515335551012
9120000000.0,-392.59010589922786,-13.672292245246743
9200000000.0,-428.72402111880854,-11.719107638782923
9280000000.0,-455.09201330607016,-11.719107638782923
9360000000.0,-474.6238593707083,-12.695699942014832
9440000000.0,-504.8982207708975,-13.672292245246743
9520000000.0,-541.0321359904782,-11.719107638782923
9600000000.0,-518.5705130161443,-11.719107638782923
9680000000.0,-492.2025208288827,-9.765923032319101
9760000000.0,-496.10889004181035,-13.672292245246743
9840000000.0,-485.36637470625936,-8.789330729087192
9920000000.0,-483.41319009979554,-13.672292245246743
10000000000.0,-467.78771324808497,-11.719107638782923
10080000000.0,-457.045197912534,-10.742515335551012
10160000000.0,-452.1622363963744,-14.648884548478652
10240000000.0,-479.5068208868679,-13.672292245246743
10320000000.0,-475.60045167394026,-11.719107638782923
10400000000.0,-481.4600054933317,-10.742515335551012
10480000000.0,-508.80458998382517,-11.719107638782923
10560000000.0,-529.3130283516953,-13.672292245246743
10640000000.0,-546.8916898098697,-13.672292245246743
10720000000.0,-570.3299050874356,-12.695699942014832
10800000000.0,-571.3064973906675,-13.672292245246743
10880000000.0,-586.931974242378,-9.765923032319101
10960000000.0,-596.6978972746971,-10.742515335551012
11040000000.0,-593.7681203650013,-11.719107638782923
11120000000.0,-593.7681203650013,-11.719107638782923
11200000000.0,-576.189458906827,-12.695699942014832
11280000000.0,-559.5873897518845,-12.695699942014832
11360000000.0,-566.4235358745079,-11.719107638782923
11440000000.0,-565.4469435712759,-13.672292245246743
11520000000.0,-572.2830896938993,-11.719107638782923
11600000000.0,-580.0958281197546,-12.695699942014832
11680000000.0,-585.955381939146,-11.719107638782923
11760000000.0,-586.931974242378,-9.765923032319101
11840000000.0,-580.0958281197546,-11.719107638782923
11920000000.0,-584.0021973326823,-13.672292245246743
12000000000.0,-584.9787896359142,-11.719107638782923
12080000000.0,-578.1426435132909,-10.742515335551012
12160000000.0,-569.3533127842036,-12.695699942014832
12240000000.0,-554.704428235725,-13.672292245246743
12320000000.0,-532.242805261391,-14.648884548478652
12400000000.0,-509.7811822870571,-10.742515335551012
12480000000.0,-485.36637470625936,-13.672292245246743
12560000000.0,-458.99838251899774,-13.672292245246743
12640000000.0,-495.1322977385785,-10.742515335551012
12720000000.0,-502.9450361644337,-11.719107638782923
12800000000.0,-509.7811822870571,-11.719107638782923
12880000000.0,-517.5939207129123,-9.765923032319101
12960000000.0,-524.4300668355357,-13.672292245246743
13040000000.0,-532.242805261391,-10.742515335551012
13120000000.0,-533.2193975646229,-12.695699942014832
13200000000.0,-533.2193975646229,-11.719107638782923
13280000000.0,-511.7343668935209,-11.719107638782923
13360000000.0,-515.6407361064486,-8.789330729087192
13440000000.0,-521.50028992584,-11.719107638782923
13520000000.0,-530.2896206549273,-9.765923032319101
13600000000.0,-529.3130283516953,-12.695699942014832
13680000000.0,-505.87481307412946,-10.742515335551012
13760000000.0,-485.36637470625936,-10.742515335551012
13840000000.0,-448.25586718344675,-15.625476851710562
13920000000.0,-421.8878749961852,-11.719107638782923
14000000000.0,-372.08166753135777,-11.719107638782923
14080000000.0,-338.8775292214728,-11.719107638782923
14160000000.0,-297.8606524857326,-12.695699942014832
