Time (ns),Voltage A (mV),Voltage B (mV)
0.0,89.45585497604297,95.21774956511123
198400.0,99.9908444471572,228.278450880459
396800.0,-100.0030518509476,-457.28934598834195
595200.0,99.9908444471572,499.954222235786
793600.0,-100.0030518509476,-335.7036042359691
992000.0,42.28644672994171,48.34131900997955
1190400.0,99.9908444471572,271.980956450087
1388800.0,-100.0030518509476,-482.92489394817954
1587200.0,99.9908444471572,492.4466689046907
1785600.0,-100.0030518509476,-292.4893948179571
1984000.0,-4.9806207464827414,-0.24414807580797754
2182400.0,99.9908444471572,312.26538895840326
2380800.0,-100.0030518509476,-496.84133426923427
2579200.0,99.9908444471572,476.33289590136417
2777600.0,-100.0030518509476,-249.27518539994506
2976000.0,-55.4704428235725,-51.51524399548326
3174400.0,99.9908444471572,350.8407849360637
3372800.0,-100.0030518509476,-500.015259254738
3571200.0,99.9908444471572,450.9414960173345
3769600.0,-100.0030518509476,-207.03756828516495
