Time (ns),Voltage A (mV),Voltage B (mV)
0.0,-418.95809808648943,-428.72402111880854
80000000.0,-539.0789513840144,-544.9385052034058
160000000.0,-359.38596758934295,-368.1752983184301
240000000.0,-208.99075289162877,-211.9205298013245
320000000.0,-28.321176793725396,-37.11050752281258
400000000.0,141.60588396862698,135.74633014923552
480000000.0,308.6031678212836,296.88406018250066
560000000.0,413.098544267098,403.3326212347789
640000000.0,242.1948912015137,231.4523758659627
720000000.0,74.22101504562517,66.4082766197699
800000000.0,-92.77626880703147,-104.49537644581439
880000000.0,-260.75014496292,-273.44584490493486
960000000.0,-443.3729056672872,-452.1622363963744
1040000000.0,-523.4534745323039,-530.2896206549273
1120000000.0,-337.9009369182409,-344.73708304086426
1200000000.0,-165.04409924619281,-170.90365306558428
1280000000.0,9.765923032319101,3.9063692129276406
1360000000.0,176.76320688497574,168.95046845912046
1440000000.0,352.54982146671955,344.73708304086426
1520000000.0,380.87099826044494,375.0114444410535
1600000000.0,206.06097598193304,198.24823755607775
1680000000.0,41.99346903897214,35.15732291634877
1760000000.0,-128.91018402661214,-138.67610705893125
1840000000.0,-303.72020630512407,-314.46272164067506
1920000000.0,-480.4834131900998,-488.29615161595507
2000000000.0,-487.3195593127232,-492.2025208288827
2080000000.0,-317.3924985503708,-326.181829279458
2160000000.0,-148.44203009125033,-152.34839930417797
2240000000.0,12.695699942014832,4.8829615161595505
2320000000.0,196.29505294961393,188.48231452375865
2400000000.0,361.3391521958068,356.4561906796472
2480000000.0,362.31574449903866,352.54982146671955
2560000000.0,193.3652760399182,181.6461684011353
2640000000.0,22.461622974333935,9.765923032319101
2720000000.0,-151.37180700094606,-161.13773003326517
2800000000.0,-321.29886776329846,-332.04138309884945
2880000000.0,-494.15570543534653,-501.9684438612018
2960000000.0,-468.76430555131685,-471.6940824610126
3040000000.0,-296.88406018250066,-301.76702169866024
3120000000.0,-126.95699942014832,-134.7697378460036
3200000000.0,42.97006134220405,33.20413830988495
3280000000.0,217.78008362071597,208.01416058839686
3360000000.0,387.70714438306834,380.87099826044494
3440000000.0,335.9477523117771,329.11160618915375
3520000000.0,174.81002227851192,166.99728385265664
3600000000.0,11.719107638782923,4.8829615161595505
3680000000.0,-172.8568376720481,-175.78661458174383
3760000000.0,-345.7136753440962,-351.57322916348767
3840000000.0,-516.6173284096805,-524.4300668355357
3920000000.0,-450.2090517899106,-456.06860560930204
4000000000.0,-277.3522141178625,-282.235175634022
4080000000.0,-106.44856105227821,-113.28470717490158
4160000000.0,65.43168431653798,59.57213049714652
4240000000.0,247.07785271767327,235.35874507889034
4320000000.0,409.1921750541704,402.356028931547
4400000000.0,321.29886776329846,313.4861293374432
4480000000.0,137.69951475569934,127.93359172338023
4560000000.0,-60.54872280037843,-72.26783043916136
4640000000.0,-232.4289681691946,-241.2182988982818
4720000000.0,-403.3326212347789,-413.098544267098
4800000000.0,-554.704428235725,-560.5639820551164
4880000000.0,-385.7539597766045,-391.613513595996
4960000000.0,-224.61622974333935,-232.4289681691946
5040000000.0,-41.99346903897214,-48.829615161595505
5120000000.0,122.07403790398877,116.2144840845973
5200000000.0,295.9074678792688,288.0947294534135
5280000000.0,431.6537980285043,421.8878749961852
5360000000.0,257.8203680532243,250.9842219306009
5440000000.0,91.79967650379956,81.05716116824854
5520000000.0,-84.96353038117618,-87.89330729087192
5600000000.0,-253.91399884029664,-264.65651417584763
5680000000.0,-422.8644672994171,-434.5835749382
5760000000.0,-534.1959898678549,-542.9853205969421
5840000000.0,-353.5264137699515,-360.36255989257484
5920000000.0,-195.31846064638202,-200.20142216254158
6000000000.0,-24.414807580797753,-30.274361400189214
6080000000.0,147.46543778801842,145.51225318155463
6160000000.0,322.27546006653034,315.439313943907
6240000000.0,407.23899044770656,400.40284432508315
6320000000.0,236.33533738212225,225.59282204657126
