Time (ns),Voltage A (mV),Voltage B (mV)
0.0,371.1050752281259,-12.695699942014832
80000000.0,360.36255989257484,-10.742515335551012
160000000.0,353.5264137699515,-12.695699942014832
240000000.0,342.78389843440044,-10.742515335551012
320000000.0,329.11160618915375,-11.719107638782923
400000000.0,314.46272164067506,-9.765923032319101
480000000.0,294.93087557603684,-11.719107638782923
560000000.0,283.21176793725397,-12.695699942014832
640000000.0,271.49266029847104,-12.695699942014832
720000000.0,252.93740653706473,-11.719107638782923
800000000.0,237.31192968535416,-10.742515335551012
880000000.0,220.7098605304117,-10.742515335551012
960000000.0,222.66304513687552,-12.695699942014832
1040000000.0,205.08438367870113,-12.695699942014832
1120000000.0,195.31846064638202,-11.719107638782923
1200000000.0,186.52912991729485,-11.719107638782923
1280000000.0,172.8568376720481,-9.765923032319101
1360000000.0,170.90365306558428,-10.742515335551012
1440000000.0,161.13773003326517,-10.742515335551012
1520000000.0,140.62929166539507,-9.765923032319101
1600000000.0,122.07403790398877,-9.765923032319101
1680000000.0,108.40174565874203,-13.672292245246743
1760000000.0,89.84649189733574,-10.742515335551012
1840000000.0,72.26783043916136,-10.742515335551012
1920000000.0,48.829615161595505,-10.742515335551012
2000000000.0,30.274361400189214,-11.719107638782923
2080000000.0,2.9297769096957307,-13.672292245246743
2160000000.0,-19.531846064638202,-11.719107638782923
2240000000.0,-46.87643055513169,-11.719107638782923
2320000000.0,-60.54872280037843,-12.695699942014832
2400000000.0,-95.70604571672719,-11.719107638782923
2480000000.0,-94.72945341349528,-8.789330729087192
2560000000.0,-123.05063020722068,-11.719107638782923
2640000000.0,-135.74633014923552,-12.695699942014832
2720000000.0,-149.41862239448224,-12.695699942014832
2800000000.0,-166.99728385265664,-11.719107638782923
2880000000.0,-187.50572222052676,-12.695699942014832
2960000000.0,-205.08438367870113,-10.742515335551012
3040000000.0,-228.522598956267,-12.695699942014832
3120000000.0,-273.44584490493486,-13.672292245246743
3200000000.0,-350.5966368602557,-12.695699942014832
3280000000.0,-374.0348521378216,-11.719107638782923
3360000000.0,-397.47306741538745,-10.742515335551012
3440000000.0,-415.05172887356184,-11.719107638782923
3520000000.0,-418.95809808648943,-12.695699942014832
3600000000.0,-436.5367595446638,-12.695699942014832
3680000000.0,-451.1856440931425,-12.695699942014832
3760000000.0,-461.9281594286935,-11.719107638782923
3840000000.0,-474.6238593707083,-7.812738425855281
3920000000.0,-482.4365977965636,-11.719107638782923
4000000000.0,-497.0854823450423,-11.719107638782923
4080000000.0,-505.87481307412946,-10.742515335551012
4160000000.0,-529.3130283516953,-9.765923032319101
4240000000.0,-536.1491744743187,-10.742515335551012
4320000000.0,-545.9150975066377,-8.789330729087192
4400000000.0,-549.8214667195654,-9.765923032319101
4480000000.0,-563.4937589648122,-11.719107638782923
4560000000.0,-561.5405743583483,-9.765923032319101
4640000000.0,-564.470351268044,-12.695699942014832
4720000000.0,-571.3064973906675,-12.695699942014832
4800000000.0,-578.1426435132909,-8.789330729087192
4880000000.0,-583.0256050294504,-9.765923032319101
4960000000.0,-582.0490127262185,-10.742515335551012
5040000000.0,-593.7681203650013,-11.719107638782923
5120000000.0,-603.5340433973205,-7.812738425855281
5200000000.0,-602.5574510940886,-11.719107638782923
5280000000.0,-605.4872280037843,-14.648884548478652
5360000000.0,-599.6276741843928,-11.719107638782923
5440000000.0,-600.6042664876247,-11.719107638782923
5520000000.0,-595.7213049714652,-9.765923032319101
5600000000.0,-593.7681203650013,-10.742515335551012
5680000000.0,-595.7213049714652,-11.719107638782923
5760000000.0,-587.9085665456099,-11.719107638782923
5840000000.0,-587.9085665456099,-9.765923032319101
5920000000.0,-578.1426435132909,-10.742515335551012
6000000000.0,-570.3299050874356,-11.719107638782923
6080000000.0,-565.4469435712759,-11.719107638782923
6160000000.0,-554.704428235725,-9.765923032319101
6240000000.0,-538.1023590807825,-10.742515335551012
6320000000.0,-546.8916898098697,-12.695699942014832
