Time (ns),Voltage A (mV),Voltage B (mV)
0.0,2.9297769096957307,-0.9765923032319102
80000000.0,216.80349131748406,217.78008362071597
160000000.0,384.7773674733726,380.87099826044494
240000000.0,450.2090517899106,447.27927488021487
320000000.0,423.841059602649,418.95809808648943
400000000.0,306.64998321481977,298.8372447889645
480000000.0,71.29123813592945,66.4082766197699
560000000.0,-124.02722251045259,-129.88677632984405
640000000.0,-360.36255989257484,-367.19870601519824
720000000.0,-525.4066591387676,-534.1959898678549
800000000.0,-555.6810205389569,-562.5171666615803
880000000.0,-438.48994415112765,-441.4197210608234
960000000.0,-223.63963744010744,-227.54600665303508
1040000000.0,-27.344584490493485,-28.321176793725396
1120000000.0,209.96734519486068,208.99075289162877
1200000000.0,389.66032898953216,388.6837366863002
1280000000.0,456.06860560930204,454.1154210028382
1360000000.0,399.42625202185127,393.5666982024598
1440000000.0,227.54600665303508,218.75667592394788
1520000000.0,0.0,-6.836146122623371
1600000000.0,-214.85030671102024,-220.7098605304117
1680000000.0,-397.47306741538745,-403.3326212347789
1760000000.0,-524.4300668355357,-534.1959898678549
1840000000.0,-562.5171666615803,-569.3533127842036
1920000000.0,-455.09201330607016,-460.95156712546157
2000000000.0,-244.14807580797753,-247.07785271767327
2080000000.0,-90.82308420056765,-90.82308420056765
2160000000.0,141.60588396862698,140.62929166539507
2240000000.0,350.5966368602557,344.73708304086426
2320000000.0,448.25586718344675,445.32609027375105
2400000000.0,432.6303903317362,424.8176519058809
2480000000.0,316.4159062471389,313.4861293374432
2560000000.0,122.07403790398877,116.2144840845973
2640000000.0,-78.12738425855281,-84.96353038117618
2720000000.0,-261.72673726615193,-272.4692526017029
2800000000.0,-470.7174901577807,-472.6706747642445
2880000000.0,-570.3299050874356,-575.2128666035951
2960000000.0,-546.8916898098697,-550.7980590227974
3040000000.0,-428.72402111880854,-428.72402111880854
3120000000.0,-195.31846064638202,-196.29505294961393
3200000000.0,61.52531510361034,57.618945890682696
3280000000.0,294.93087557603684,294.93087557603684
3360000000.0,428.72402111880854,428.72402111880854
3440000000.0,435.56016724143194,433.6069826349681
3520000000.0,311.53294473097935,305.6733909115879
3600000000.0,170.90365306558428,165.04409924619281
3680000000.0,-50.78279976805933,-54.68916898098697
3760000000.0,-302.7436140018921,-309.57976012451553
3840000000.0,-501.9684438612018,-508.80458998382517
3920000000.0,-575.2128666035951,-578.1426435132909
4000000000.0,-499.0386669515061,-503.92162846766564
4080000000.0,-368.1752983184301,-370.12848292489394
4160000000.0,-214.85030671102024,-218.75667592394788
4240000000.0,50.78279976805933,49.806207464827416
4320000000.0,281.25858333079015,282.235175634022
4400000000.0,404.3092135380108,400.40284432508315
4480000000.0,460.95156712546157,454.1154210028382
4560000000.0,394.5432905056917,390.63692129276404
4640000000.0,239.26511429181798,233.40556047242652
4720000000.0,27.344584490493485,23.438215277565845
4800000000.0,-232.4289681691946,-239.26511429181798
4880000000.0,-397.47306741538745,-401.3794366283151
4960000000.0,-531.2662129581591,-539.0789513840144
5040000000.0,-562.5171666615803,-569.3533127842036
5120000000.0,-449.2324594866787,-450.2090517899106
5200000000.0,-238.28852198858607,-238.28852198858607
5280000000.0,22.461622974333935,21.485030671102024
5360000000.0,234.38215277565843,233.40556047242652
5440000000.0,392.59010589922786,393.5666982024598
5520000000.0,457.045197912534,457.045197912534
5600000000.0,372.08166753135777,367.19870601519824
5680000000.0,222.66304513687552,219.7332682271798
5760000000.0,-13.672292245246743,-19.531846064638202
5840000000.0,-212.89712210455642,-222.66304513687552
5920000000.0,-395.5198828089236,-399.42625202185127
6000000000.0,-533.2193975646229,-542.9853205969421
6080000000.0,-563.4937589648122,-567.4001281777398
6160000000.0,-463.8813440351573,-467.78771324808497
6240000000.0,-355.4795983764153,-361.3391521958068
6320000000.0,-174.81002227851192,-174.81002227851192
