Time (ns),Voltage A (mV),Voltage B (mV)
0.0,99.9908444471572,461.68401135288553
96000.0,-51.0757774590289,-45.6556901760918
192000.0,-100.0030518509476,-495.8647419660024
288000.0,-100.0030518509476,-296.3957640308847
384000.0,99.9908444471572,276.61976989043853
480000.0,99.9908444471572,499.954222235786
576000.0,74.31867427594837,81.5454573198645
672000.0,-100.0030518509476,-438.7340922269356
768000.0,-100.0030518509476,-391.613513595996
864000.0,99.9908444471572,163.090914639729
960000.0,99.9908444471572,499.954222235786
1056000.0,99.9908444471572,198.73653370769372
1152000.0,-100.0030518509476,-361.3391521958068
1248000.0,-100.0030518509476,-462.1723075045015
1344000.0,33.59477523117771,39.55198828089236
1440000.0,99.9908444471572,492.2025208288827
1536000.0,99.9908444471572,311.7770928067873
1632000.0,-100.0030518509476,-256.11133152256843
1728000.0,-100.0030518509476,-500.015259254738
1824000.0,-87.50267036957915,-83.49864192632832
