Time (ns),Voltage A (mV),Voltage B (mV)
0.0,-90.53010650959807,-83.74279000213629
80000000.0,-100.0030518509476,-139.89684743797113
160000000.0,-100.0030518509476,-174.81002227851192
240000000.0,-100.0030518509476,-226.81356242561114
320000000.0,-100.0030518509476,-262.9474776451918
400000000.0,-100.0030518509476,-304.20850245674
480000000.0,-100.0030518509476,-329.3557542649617
560000000.0,-100.0030518509476,-374.52314828943753
640000000.0,-100.0030518509476,-407.97143467513047
720000000.0,-100.0030518509476,-433.8511307107761
800000000.0,-100.0030518509476,-455.82445753349407
880000000.0,-100.0030518509476,-473.64726706747643
960000000.0,-100.0030518509476,-491.4700766014588
1040000000.0,-100.0030518509476,-500.015259254738
1120000000.0,-100.0030518509476,-499.0386669515061
1200000000.0,-100.0030518509476,-492.4466689046907
1280000000.0,-100.0030518509476,-489.516891994995
1360000000.0,-100.0030518509476,-498.7945188756981
1440000000.0,-100.0030518509476,-500.015259254738
1520000000.0,-100.0030518509476,-500.015259254738
