Time (ns),Voltage A (mV),Voltage B (mV)
0.0,125.98040711691641,-12.695699942014832
80000000.0,114.2612994781335,-10.742515335551012
160000000.0,89.84649189733574,-13.672292245246743
240000000.0,78.12738425855281,-10.742515335551012
320000000.0,-18.55525376140629,-11.719107638782923
400000000.0,-62.50190740684225,-11.719107638782923
480000000.0,-73.24442274239325,-11.719107638782923
560000000.0,-100.58900723288674,-10.742515335551012
640000000.0,-186.52912991729485,-11.719107638782923
720000000.0,-246.10126041444136,-11.719107638782923
800000000.0,-263.67992187261575,-10.742515335551012
880000000.0,-291.02450636310925,-12.695699942014832
960000000.0,-299.8138370921964,-10.742515335551012
1040000000.0,-309.57976012451553,-12.695699942014832
1120000000.0,-354.50300607318337,-12.695699942014832
1200000000.0,-432.6303903317362,-9.765923032319101
1280000000.0,-450.2090517899106,-8.789330729087192
1360000000.0,-450.2090517899106,-12.695699942014832
1440000000.0,-497.0854823450423,-11.719107638782923
1520000000.0,-531.2662129581591,-10.742515335551012
1600000000.0,-547.8682821131016,-10.742515335551012
1680000000.0,-554.704428235725,-12.695699942014832
1760000000.0,-560.5639820551164,-11.719107638782923
1840000000.0,-570.3299050874356,-11.719107638782923
1920000000.0,-574.2362743003632,-10.742515335551012
2000000000.0,-578.1426435132909,-11.719107638782923
2080000000.0,-585.955381939146,-10.742515335551012
2160000000.0,-584.0021973326823,-11.719107638782923
2240000000.0,-587.9085665456099,-7.812738425855281
2320000000.0,-592.7915280617694,-11.719107638782923
2400000000.0,-599.6276741843928,-11.719107638782923
2480000000.0,-597.674489577929,-11.719107638782923
2560000000.0,-602.5574510940886,-9.765923032319101
2640000000.0,-603.5340433973205,-11.719107638782923
2720000000.0,-598.651081881161,-11.719107638782923
2800000000.0,-597.674489577929,-12.695699942014832
2880000000.0,-596.6978972746971,-12.695699942014832
2960000000.0,-591.8149357585376,-12.695699942014832
3040000000.0,-585.955381939146,-11.719107638782923
3120000000.0,-584.9787896359142,-10.742515335551012
3200000000.0,-579.1192358165227,-9.765923032319101
3280000000.0,-573.2596819971312,-13.672292245246743
3360000000.0,-569.3533127842036,-11.719107638782923
3440000000.0,-565.4469435712759,-9.765923032319101
3520000000.0,-554.704428235725,-8.789330729087192
3600000000.0,-549.8214667195654,-10.742515335551012
3680000000.0,-545.9150975066377,-8.789330729087192
3760000000.0,-508.80458998382517,-12.695699942014832
3840000000.0,-470.7174901577807,-13.672292245246743
3920000000.0,-463.8813440351573,-11.719107638782923
4000000000.0,-458.02179021576586,-11.719107638782923
4080000000.0,-441.4197210608234,-12.695699942014832
4160000000.0,-423.841059602649,-8.789330729087192
4240000000.0,-412.1219519638661,-13.672292245246743
4320000000.0,-403.3326212347789,-13.672292245246743
4400000000.0,-391.613513595996,-11.719107638782923
4480000000.0,-374.0348521378216,-10.742515335551012
4560000000.0,-360.36255989257484,-12.695699942014832
4640000000.0,-345.7136753440962,-11.719107638782923
4720000000.0,-333.0179754020814,-11.719107638782923
4800000000.0,-331.06479079561757,-15.625476851710562
4880000000.0,-314.46272164067506,-9.765923032319101
4960000000.0,-293.95428327280496,-11.719107638782923
5040000000.0,-274.42243720816674,-10.742515335551012
5120000000.0,-261.72673726615193,-12.695699942014832
5200000000.0,-239.26511429181798,-11.719107638782923
5280000000.0,-218.75667592394788,-13.672292245246743
5360000000.0,-174.81002227851192,-10.742515335551012
5440000000.0,-79.10397656178472,-11.719107638782923
5520000000.0,-46.87643055513169,-9.765923032319101
5600000000.0,-33.20413830988495,-10.742515335551012
5680000000.0,-7.812738425855281,-11.719107638782923
5760000000.0,9.765923032319101,-11.719107638782923
5840000000.0,28.321176793725396,-10.742515335551012
5920000000.0,68.36146122623371,-9.765923032319101
6000000000.0,187.50572222052676,-9.765923032319101
6080000000.0,269.5394756920072,-11.719107638782923
6160000000.0,287.1181371501816,-10.742515335551012
6240000000.0,304.69679860835595,-14.648884548478652
6320000000.0,313.4861293374432,-12.695699942014832
