Time (ns),Voltage A (mV),Voltage B (mV)
0.0,471.6940824610126,464.8579363383892
80000000.0,472.6706747642445,466.81112094485303
160000000.0,474.6238593707083,466.81112094485303
240000000.0,469.7408978545488,466.81112094485303
320000000.0,474.6238593707083,466.81112094485303
400000000.0,487.3195593127232,480.4834131900998
480000000.0,-583.0256050294504,-598.651081881161
560000000.0,-588.8851588488418,-601.5808587908566
640000000.0,-591.8149357585376,-602.5574510940886
720000000.0,-583.0256050294504,-600.6042664876247
800000000.0,-579.1192358165227,-592.7915280617694
880000000.0,-585.955381939146,-598.651081881161
960000000.0,-587.9085665456099,-600.6042664876247
1040000000.0,-592.7915280617694,-602.5574510940886
1120000000.0,-591.8149357585376,-602.5574510940886
1200000000.0,464.8579363383892,461.9281594286935
1280000000.0,467.78771324808497,462.9047517319254
1360000000.0,466.81112094485303,461.9281594286935
1440000000.0,-585.955381939146,-599.6276741843928
1520000000.0,-590.8383434553057,-602.5574510940886
1600000000.0,-587.9085665456099,-599.6276741843928
1680000000.0,-583.0256050294504,-596.6978972746971
1760000000.0,394.5432905056917,389.66032898953216
1840000000.0,-571.3064973906675,-584.9787896359142
1920000000.0,481.4600054933317,477.5536362804041
2000000000.0,-550.7980590227974,-568.3767204809717
2080000000.0,-582.0490127262185,-594.7447126682333
2160000000.0,-589.8617511520737,-602.5574510940886
2240000000.0,-586.931974242378,-598.651081881161
2320000000.0,-584.0021973326823,-597.674489577929
2400000000.0,469.7408978545488,465.83452864162115
2480000000.0,467.78771324808497,465.83452864162115
2560000000.0,466.81112094485303,461.9281594286935
2640000000.0,467.78771324808497,461.9281594286935
2720000000.0,467.78771324808497,464.8579363383892
2800000000.0,-577.1660512100589,-589.8617511520737
2880000000.0,-586.931974242378,-598.651081881161
2960000000.0,-593.7681203650013,-604.5106357005524
3040000000.0,-591.8149357585376,-606.4638203070162
3120000000.0,-581.0724204229865,-591.8149357585376
3200000000.0,-438.48994415112765,-447.27927488021487
3280000000.0,-589.8617511520737,-596.6978972746971
3360000000.0,444.3494979705191,447.27927488021487
3440000000.0,-584.0021973326823,-596.6978972746971
3520000000.0,-589.8617511520737,-602.5574510940886
3600000000.0,-584.0021973326823,-595.7213049714652
3680000000.0,-585.955381939146,-595.7213049714652
3760000000.0,-587.9085665456099,-599.6276741843928
3840000000.0,-583.0256050294504,-593.7681203650013
3920000000.0,-590.8383434553057,-599.6276741843928
4000000000.0,439.4665364543596,439.4665364543596
4080000000.0,-588.8851588488418,-599.6276741843928
4160000000.0,-587.9085665456099,-602.5574510940886
4240000000.0,-587.9085665456099,-599.6276741843928
4320000000.0,456.06860560930204,456.06860560930204
4400000000.0,467.78771324808497,463.8813440351573
4480000000.0,465.83452864162115,462.9047517319254
4560000000.0,470.7174901577807,466.81112094485303
4640000000.0,-596.6978972746971,-602.5574510940886
4720000000.0,468.76430555131685,465.83452864162115
4800000000.0,451.1856440931425,444.3494979705191
4880000000.0,-589.8617511520737,-596.6978972746971
4960000000.0,-584.0021973326823,-596.6978972746971
5040000000.0,-584.9787896359142,-597.674489577929
5120000000.0,-585.955381939146,-600.6042664876247
5200000000.0,-578.1426435132909,-592.7915280617694
5280000000.0,-601.5808587908566,-617.2063356425672
5360000000.0,-586.931974242378,-603.5340433973205
5440000000.0,-584.9787896359142,-598.651081881161
5520000000.0,-590.8383434553057,-602.5574510940886
5600000000.0,-582.0490127262185,-599.6276741843928
5680000000.0,125.98040711691641,115.23789178136539
5760000000.0,-584.9787896359142,-597.674489577929
5840000000.0,-586.931974242378,-599.6276741843928
5920000000.0,-584.9787896359142,-597.674489577929
6000000000.0,-578.1426435132909,-592.7915280617694
6080000000.0,471.6940824610126,466.81112094485303
6160000000.0,481.4600054933317,477.5536362804041
6240000000.0,467.78771324808497,464.8579363383892
6320000000.0,466.81112094485303,466.81112094485303
