Time (ns),Voltage (mV)
0.0,230.47578356273078
80000000.0,459.9749748222297
160000000.0,-592.7915280617694
240000000.0,450.2090517899106
320000000.0,465.83452864162115
400000000.0,-355.4795983764153
480000000.0,459.9749748222297
560000000.0,-590.8383434553057
640000000.0,443.3729056672872
720000000.0,-629.902035584582
800000000.0,-585.955381939146
880000000.0,453.13882869960634
960000000.0,-588.8851588488418
1040000000.0,435.56016724143194
1120000000.0,-595.7213049714652
1200000000.0,-601.5808587908566
1280000000.0,456.06860560930204
1360000000.0,-592.7915280617694
1440000000.0,436.5367595446638
1520000000.0,-476.57704397717214
1600000000.0,-593.7681203650013
1680000000.0,457.045197912534
1760000000.0,-586.931974242378
1840000000.0,430.67720572527236
1920000000.0,-406.2623981444746
2000000000.0,-593.7681203650013
2080000000.0,455.09201330607016
2160000000.0,-587.9085665456099
2240000000.0,422.8644672994171
2320000000.0,-450.2090517899106
2400000000.0,-592.7915280617694
2480000000.0,457.045197912534
2560000000.0,-584.9787896359142
2640000000.0,-402.356028931547
2720000000.0,-557.6342051454207
2800000000.0,-598.651081881161
2880000000.0,458.02179021576586
2960000000.0,-587.9085665456099
3040000000.0,443.3729056672872
3120000000.0,-620.136112552263
3200000000.0,-589.8617511520737
3280000000.0,460.95156712546157
3360000000.0,-589.8617511520737
3440000000.0,452.1622363963744
3520000000.0,-600.6042664876247
3600000000.0,-156.25476851710562
3680000000.0,460.95156712546157
3760000000.0,-593.7681203650013
3840000000.0,458.02179021576586
3920000000.0,-579.1192358165227
4000000000.0,455.09201330607016
4080000000.0,460.95156712546157
4160000000.0,-594.7447126682333
4240000000.0,460.95156712546157
4320000000.0,-584.0021973326823
4400000000.0,450.2090517899106
4480000000.0,-46.87643055513169
4560000000.0,-590.8383434553057
4640000000.0,457.045197912534
4720000000.0,-584.9787896359142
4800000000.0,451.1856440931425
4880000000.0,-615.2531510361034
4960000000.0,-429.7006134220405
5040000000.0,457.045197912534
5120000000.0,-588.8851588488418
5200000000.0,460.95156712546157
5280000000.0,-578.1426435132909
5360000000.0,480.4834131900998
5440000000.0,423.841059602649
5520000000.0,-591.8149357585376
5600000000.0,457.045197912534
5680000000.0,-587.9085665456099
5760000000.0,432.6303903317362
5840000000.0,-617.2063356425672
5920000000.0,-464.8579363383892
6000000000.0,459.9749748222297
6080000000.0,-588.8851588488418
6160000000.0,454.1154210028382
6240000000.0,-583.0256050294504
6320000000.0,-592.7915280617694
